unique_well,treatment,mu,best.model,best.se
1_F5_42,6F_4,-0.5564485126259899,gr,0.3913876213920068
1_F6_42,6F_6,-0.5941513610290373,gr,0.40388039196475944
1_F7_42,14C_7,-1.2332185805283347,gr,0.47750819760594226
1_F8_42,30C_8,-0.776302866623889,gr,0.5008946752419853
1_F9_42,30C_5,-0.7339956026904502,gr,0.5498168541024149
1_G10_42,48F_2,-0.20982990605785842,gr,0.53988649963656965
1_G11_42,6F_5,-0.4539450090388544,gr,0.5896790970774027
1_G2_42,30C_7,-0.44130827260350786,gr,0.54224213612162675
1_G3_42,6F_6,-0.3539217729773942,gr,0.44286172066006674
1_G4_42,48F_7,-0.17447414249383036,gr,0.474117088086942
1_G5_42,30C_6,-0.4536717830140955,gr,0.49658637390833005
1_G6_42,48F_3,-0.4253088553802903,gr,0.5898204253973556
1_G7_42,6F_4,-0.5960130294378316,gr,0.48081218137954423
1_G8_42,6F_1,-0.5034875913522678,gr,0.4280836453140659
1_G9_42,48F_3,-0.3867058842976369,gr,0.4835169614699372
2_C10_42,30C_5,-0.7083784328909072,gr,0.8208048696323795
2_C11_42,30C_2,-0.23395423272376112,gr,0.5339710118670031
2_C2_42,30C_5,-0.8124889061708813,gr,0.5179587007446227
2_C4_42,6F_3,1e-4,gr.lagsat,8.883849397119636
2_C5_42,48F_5,-0.6806818632448396,gr,0.4666844060829794
2_C6_42,30C_8,-0.7534299013444488,gr,0.5819170385642628
2_C7_42,6F_1,-0.8091971719319354,gr,0.6030815420160969
2_C8_42,14C_6,-1.1552550528296495,gr,0.6476840174455694
2_C9_42,14C_5,-0.6764811814502226,gr,0.6066998671434837
2_D10_42,6F_5,-0.8740578306059456,gr,0.6871769991922426
2_D11_42,14C_5,-0.7241567248116878,gr,0.7782956401225118
2_D2_42,14C_7,1e-4,gr.lagsat,2.8890044012697422
2_D3_42,48F_5,-0.6823635110346822,gr,0.426019558037019
2_D4_42,30C_8,-0.6382561958827375,gr,0.4462542298738691
2_D5_42,14C_4,1e-4,gr.lagsat,2.057133663552677
2_D6_42,48F_7,-0.7432115573692534,gr,0.497067707524912
2_D7_42,48F_6,-0.6410330513462704,gr,0.4444486625947992
2_D8_42,30C_6,1e-4,gr.lagsat,2.116841583637881
2_D9_42,14C_1,-0.8051927463278263,gr,0.6959723323903648
2_E10_42,14C_8,1e-4,gr.lagsat,2.6566396578894573
2_E11_42,30C_6,-0.5232723539642682,gr,0.6978918015846489
2_E2_42,14C_4,1e-4,gr.lagsat,2.573478933611611
2_E3_42,6F_4,1e-4,gr.lagsat,4.084657713982029
2_E4_42,14C_7,1e-4,gr.lagsat,1.1979378190691115
2_E5_42,30C_3,-0.7180314176899222,gr,0.6491888997626843
2_E6_42,6F_7,1e-4,gr.lagsat,1.436960780040356
2_E7_42,14C_1,1e-4,gr.lagsat,2.6357280928446216
2_E8_42,14C_6,-0.9707506058924092,gr,0.6430656143267899
2_E9_42,48F_1,-0.7784076672722693,gr,0.5661015094918043
2_F10_42,6F_2,-0.6002838333859667,gr,0.6768928524048765
2_F11_42,30C_1,-0.40303920481280575,gr,0.6104665708067888
2_F2_42,6F_8,-0.708224394525802,gr,0.3896581952410675
2_F3_42,6F_7,-0.4747800245579273,gr,0.3577709177357215
2_F4_42,48F_5,-0.6309670802226808,gr,0.5432345093323898
